iter	Passed	Remaining
0	187	187386
1	235	117293
2	250	83117
3	276	68897
4	339	67567
5	352	58410
6	363	51583
7	378	46885
8	410	45234
9	431	42702
10	452	40673
11	469	38684
12	518	39333
13	533	37559
14	556	36557
15	570	35092
16	582	33680
17	598	32639
18	615	31788
19	627	30752
20	643	29996
21	666	29644
22	677	28796
23	697	28379
24	714	27878
25	755	28301
26	788	28410
27	802	27853
28	818	27420
29	831	26898
30	842	26324
31	853	25808
32	868	25456
33	888	25251
34	911	25138
35	945	25326
36	964	25106
37	987	25001
38	999	24634
39	1016	24402
40	1042	24387
41	1059	24156
42	1072	23878
43	1082	23522
44	1091	23165
45	1102	22858
46	1110	22518
47	1120	22214
48	1131	21969
49	1141	21695
50	1152	21438
51	1163	21213
52	1174	20989
53	1183	20736
54	1193	20510
55	1206	20331
56	1217	20144
57	1229	19965
58	1240	19788
59	1252	19622
60	1261	19419
61	1274	19274
62	1279	19030
63	1289	18864
64	1302	18730
65	1308	18520
66	1319	18380
67	1331	18247
68	1338	18064
69	1349	17926
70	1364	17852
71	1371	17672
72	1383	17572
73	1393	17436
74	1401	17279
75	1406	17099
76	1416	16980
77	1430	16907
78	1440	16794
79	1447	16644
80	1455	16508
81	1464	16392
82	1477	16325
83	1487	16226
84	1496	16107
85	1506	16007
86	1521	15964
87	1535	15914
88	1543	15794
89	1554	15718
90	1564	15629
91	1575	15549
92	1588	15496
93	1601	15438
94	1611	15353
95	1620	15261
96	1632	15199
97	1637	15071
98	1648	15007
99	1658	14923
100	1665	14826
101	1675	14755
102	1689	14710
103	1694	14600
104	1706	14548
105	1714	14460
106	1726	14405
107	1739	14363
108	1746	14278
109	1759	14232
110	1770	14178
111	1782	14128
112	1790	14056
113	1803	14015
114	1809	13925
115	1816	13843
116	1824	13768
117	1835	13717
118	1838	13613
119	1846	13544
120	1855	13480
121	1865	13428
122	1873	13359
123	1881	13292
124	1891	13240
125	1900	13181
126	1910	13131
127	1916	13057
128	1929	13026
129	1938	12973
130	1947	12916
131	1956	12867
132	1965	12809
133	1973	12754
134	1983	12707
135	1991	12654
136	2000	12599
137	2006	12532
138	2013	12470
139	2021	12417
140	2026	12342
141	2036	12304
142	2042	12238
143	2052	12202
144	2064	12170
145	2069	12106
146	2078	12060
147	2087	12017
148	2097	11981
149	2105	11931
150	2111	11872
151	2118	11819
152	2126	11769
153	2139	11755
154	2150	11723
155	2158	11676
156	2170	11652
157	2185	11644
158	2192	11598
159	2203	11569
160	2208	11507
161	2219	11479
162	2230	11451
163	2237	11405
164	2248	11376
165	2255	11333
166	2266	11307
167	2276	11273
168	2284	11233
169	2297	11216
170	2303	11168
171	2312	11130
172	2321	11097
173	2329	11059
174	2337	11020
175	2343	10973
176	2352	10937
177	2359	10894
178	2364	10846
179	2374	10816
180	2383	10786
181	2390	10746
182	2396	10701
183	2405	10666
184	2413	10631
185	2421	10597
186	2427	10553
187	2436	10521
188	2444	10487
189	2452	10453
190	2464	10438
191	2475	10418
192	2484	10390
193	2494	10361
194	2499	10320
195	2507	10284
196	2514	10250
197	2521	10214
198	2528	10176
199	2535	10142
200	2543	10109
201	2550	10076
202	2558	10046
203	2565	10009
204	2571	9973
205	2577	9933
206	2588	9917
207	2597	9890
208	2603	9852
209	2608	9813
210	2617	9788
211	2624	9755
212	2637	9746
213	2646	9719
214	2656	9698
215	2668	9685
216	2679	9669
217	2687	9639
218	2700	9631
219	2713	9619
220	2720	9590
221	2734	9582
222	2747	9572
223	2762	9571
224	2776	9562
225	2783	9531
226	2798	9528
227	2811	9520
228	2815	9477
229	2829	9473
230	2842	9462
231	2859	9464
232	2872	9455
233	2885	9446
234	2901	9444
235	2906	9408
236	2920	9401
237	2935	9398
238	2947	9383
239	2954	9356
240	2967	9346
241	2977	9326
242	2984	9298
243	2994	9277
244	2999	9243
245	3006	9213
246	3012	9183
247	3017	9151
248	3026	9128
249	3033	9101
250	3043	9080
251	3048	9049
252	3058	9030
253	3066	9005
254	3072	8976
255	3077	8944
256	3086	8924
257	3092	8892
258	3097	8861
259	3104	8836
260	3110	8808
261	3118	8783
262	3124	8756
263	3132	8733
264	3138	8705
265	3145	8678
266	3151	8653
267	3157	8623
268	3164	8598
269	3174	8582
270	3181	8557
271	3186	8529
272	3196	8511
273	3200	8481
274	3208	8459
275	3215	8433
276	3220	8405
